CarNumber,Refund,Fines,Make,Model,Year
T395OT197RUS,2,8594.5864661654,Volkswagen,Touareg,2000
K327T8197RUS,2,20800.0,Volkswagen,Golf,2018
8311XX154RUS,2,8600.0,Ford,Focus,2007
X423MK197RUS,2,14300.0,Ford,Focus,2002
96429X178RUS,1,2600.0,Ford,Focus,2012
O275O7161RUS,2,16600.0,Ford,Focus,1990
7789KT197RUS,2,12600.0,Ford,Focus,1982
E28877161RUS,1,1000.0,Ford,Focus,2004
T6068M116RUS,1,1000.0,Ford,Focus,2013
9498KX178RUS,2,1600.0,Ford,Focus,2005
99209X178RUS,1,500.0,Skoda,Octavia,1999
T6449O50RUS,2,8594.5864661654,Ford,Focus,2003
9683EC178RUS,2,26000.0,Ford,Focus,2017
Y353O8197RUS,2,21800.0,Ford,Focus,2016
O719MM163RUS,2,2300.0,Ford,Focus,1992
E535MM199RUS,1,500.0,Volkswagen,Touareg,1981
Y352O8197RUS,2,103600.0,Ford,Focus,2013
7788KT197RUS,2,12000.0,Ford,Focus,1994
E807HE77RUS,2,4500.0,Ford,Focus,1991
M516CH161RUS,1,1000.0,Ford,Focus,2006
89587X197RUS,1,8594.5864661654,Toyota,Camry,1990
7781KT197RUS,2,600.0,Ford,Focus,1988
E645TH36RUS,1,2400.0,Ford,Focus,2008
Y302E877RUS,1,500.0,Ford,Focus,1985
M058XE36RUS,2,8500.0,Skoda,Octavia,1992
7830C8197RUS,1,5100.0,Ford,Focus,2000
8166XX154RUS,1,2400.0,Ford,Focus,1997
M589CH197RUS,2,7900.0,Volkswagen,,1988
9408H7178RUS,1,1000.0,Skoda,Octavia,2008
H387TM197RUS,2,1600.0,Volkswagen,Passat,1991
8049HT125RUS,1,500.0,Ford,Focus,1987
9698MO178RUS,2,18400.0,Volkswagen,Golf,1982
8685HE154RUS,1,1000.0,Ford,Focus,1982
7177TT36RUS,1,1000.0,Ford,Focus,2004
O77997197RUS,1,22400.0,Ford,Focus,1988
Y234E877RUS,1,8594.5864661654,Ford,Focus,2019
97987H178RUS,2,5000.0,Ford,Focus,1989
X257HE161RUS,2,10000.0,Ford,Focus,1996
T399KX197RUS,2,10200.0,Ford,Focus,2000
H957HY161RUS,1,2000.0,Ford,Focus,2004
K379HY161RUS,1,200.0,Volkswagen,Golf,2001
T654HT96RUS,1,4000.0,Toyota,Corolla,2016
8439XX154RUS,2,4600.0,Ford,Focus,1990
Y965EE197RUS,2,9600.0,Ford,Focus,1996
X758HY197RUS,2,24200.0,Ford,Focus,1990
M0279X197RUS,2,180000.0,Ford,Focus,1992
H224X836RUS,1,3500.0,Ford,Focus,1989
E6849O154RUS,1,200.0,Volkswagen,Golf,1995
O83797197RUS,2,75900.0,Ford,Focus,2016
9402KK197RUS,2,8594.5864661654,Toyota,Camry,1990
7368C8197RUS,1,4400.0,Ford,Focus,1989
H427YH197RUS,2,29700.0,Volkswagen,Passat,2009
9583EY178RUS,2,4300.0,Ford,Focus,1989
Y038E877RUS,2,6500.0,Ford,Focus,2013
9822H8161RUS,1,100.0,Ford,Focus,2003
7826C8197RUS,2,3600.0,Ford,Focus,2017
E160YX77RUS,2,2200.0,Ford,Focus,2013
82337X197RUS,2,2100.0,Ford,Focus,1981
X757HY197RUS,2,6800.0,Ford,Focus,1992
X765HY197RUS,2,13900.0,Ford,Focus,2018
934497178RUS,2,1900.0,Skoda,Octavia,2003
K2807K154RUS,1,1000.0,Ford,Focus,1984
T8008Y125RUS,2,1000.0,Ford,Focus,1982
X765HY197RUS,2,27800.0,Ford,Focus,2016
Y960EE197RUS,1,8594.5864661654,Skoda,Octavia,2007
7840C8197RUS,2,7000.0,Ford,Focus,1999
K846YE77RUS,2,2000.0,Volkswagen,Passat,1984
E40577152RUS,1,500.0,Ford,Focus,1990
7827C8197RUS,1,7500.0,Ford,Focus,2013
Y655E8750RUS,2,5200.0,Skoda,Octavia,2014
H003MH197RUS,2,2900.0,Ford,Focus,2016
Y7699C197RUS,2,15800.0,Ford,Focus,1994
Y8399C197RUS,2,1800.0,Ford,Focus,1994
9135X938RUS,2,4400.0,Ford,Focus,2008
H385TM197RUS,1,9500.0,Volkswagen,Passat,1998
9428EX178RUS,1,1000.0,Ford,Focus,1983
H837YK197RUS,2,4200.0,Audi,,1995
O83597197RUS,2,4000.0,Ford,Focus,2012
E42577152RUS,2,8594.5864661654,Ford,Focus,1994
E53277152RUS,1,1000.0,Ford,Focus,2005
C476M7161RUS,2,1500.0,Ford,Focus,1993
9943KK197RUS,2,29700.0,Ford,Focus,1999
8165XX154RUS,1,4900.0,Ford,Focus,2004
T476KX197RUS,1,1500.0,Ford,Focus,2012
C422X938RUS,2,10500.0,Ford,Focus,1986
K328T8197RUS,1,300.0,Volkswagen,Golf,2007
9466EX178RUS,2,800.0,Ford,Focus,1997
X256HE161RUS,1,2400.0,Ford,Focus,1982
Y275O8197RUS,1,8594.5864661654,Ford,Focus,2008
8165XX154RUS,2,4200.0,Ford,Focus,2015
E432XX77RUS,2,13000.0,Toyota,Camry,2012
7830C8197RUS,2,10200.0,Ford,Focus,2005
H217X836RUS,1,2000.0,Ford,Focus,2007
Y316E877RUS,2,7000.0,Ford,Focus,2007
934497178RUS,1,3800.0,Skoda,Octavia,2013
O77997197RUS,2,8594.5864661654,Ford,Focus,2008
8601XX154RUS,1,1300.0,Skoda,Octavia,2006
M741T9152RUS,2,1000.0,Ford,Focus,2007
9883HX152RUS,2,1000.0,Ford,Focus,2004
Y6829Y50RUS,1,500.0,Ford,Focus,2019
H004MH197RUS,1,39600.0,Ford,Focus,2000
704987163RUS,2,8594.5864661654,Ford,Focus,1992
E160YX77RUS,2,1100.0,Ford,Focus,2017
E316EH197RUS,1,1300.0,Volkswagen,,2003
X758HY197RUS,2,72600.0,Ford,Focus,1986
O22297197RUS,1,500.0,Ford,Focus,1993
O02597197RUS,1,800.0,Ford,Focus,2007
X015HY197RUS,2,16000.0,Toyota,Corolla,1993
T769OT197RUS,2,30900.0,Volkswagen,Golf,1986
Y778EE197RUS,1,24000.0,Volkswagen,Golf,1983
7829C8197RUS,2,1800.0,Ford,Focus,1989
T272HH163RUS,1,1000.0,Ford,Focus,1987
T018OX197RUS,2,3400.0,Toyota,Corolla,1988
Y255E877RUS,1,2500.0,Ford,Focus,1992
9182CE154RUS,2,13200.0,Ford,Focus,2000
9697MO178RUS,1,1000.0,Volkswagen,Golf,1984
C477M7161RUS,2,5000.0,Ford,Focus,1982
T686EO197RUS,1,500.0,Toyota,Camry,1996
C590EY154RUS,2,8594.5864661654,Ford,Focus,2011
T941CC96RUS,1,2000.0,Ford,Focus,1987
O22397197RUS,2,55500.0,Ford,Focus,1999
X242EC197RUS,2,10600.0,Volkswagen,Golf,1989
T020OX197RUS,1,34300.0,Toyota,Corolla,1990
E33577152RUS,2,2000.0,Ford,Focus,2002
Y973O8197RUS,1,34800.0,Ford,Focus,2010
E773EH197RUS,2,6800.0,Ford,Focus,2013
T6428M116RUS,2,6000.0,Ford,Focus,1993
Y7129Y50RUS,2,32000.0,Ford,Focus,1999
Y418EX197RUS,2,900.0,Volkswagen,Passat,2001
Y7689C197RUS,1,27000.0,Ford,Focus,1996
7066C8197RUS,1,3000.0,Volkswagen,Passat,1993
E52877152RUS,1,1500.0,Ford,Focus,1986
7369C8197RUS,2,8594.5864661654,Ford,Focus,2013
Y166O8161RUS,1,100.0,Ford,Focus,2010
705287163RUS,2,2000.0,Ford,Focus,2006
K559KC161RUS,1,100.0,Ford,Focus,1991
M0299X197RUS,2,67200.0,Ford,Focus,2008
92928M178RUS,1,600.0,Ford,Focus,1994
9822H8161RUS,1,200.0,Ford,Focus,2009
8603T8154RUS,1,3000.0,Ford,Focus,2000
84418C154RUS,1,3000.0,Ford,Focus,2005
E53488152RUS,2,1800.0,Ford,Focus,2002
9697MO178RUS,1,500.0,Volkswagen,Golf,2011
Y7709C197RUS,1,1500.0,Ford,Focus,1999
90159H178RUS,2,600.0,Volkswagen,Passat,1995
C798ET50RUS,1,10000.0,Ford,Focus,1993
Y193O8161RUS,2,600.0,Ford,Focus,1987
7248C8197RUS,2,8600.0,Ford,Mondeo,2017
Y275O8197RUS,1,6000.0,Ford,Focus,1980
K357YE77RUS,1,5000.0,Volkswagen,Golf,1998
9697MO178RUS,1,8594.5864661654,Volkswagen,Golf,1985
E0697X152RUS,1,2000.0,Skoda,Octavia,1995
E40877152RUS,1,1000.0,Ford,Focus,2011
Y351O8197RUS,1,1500.0,Ford,Focus,1985
Y356O8197RUS,2,45900.0,Ford,Focus,1986
O6939X163RUS,1,7200.0,Ford,Focus,2010
Y7649C197RUS,2,5300.0,Ford,Focus,2006
9935TE152RUS,2,2500.0,Ford,Focus,2000
704687163RUS,2,1400.0,Ford,Focus,1988
7197TT36RUS,2,6800.0,Ford,Focus,2019
X765HY197RUS,2,41700.0,Ford,Focus,1994
H115YO163RUS,1,8594.5864661654,Ford,Focus,1999
O143HO197RUS,2,30300.0,Toyota,Corolla,1989
K436MO152RUS,1,1500.0,Ford,Focus,2015
9938OH154RUS,1,500.0,Skoda,Octavia,2012
E34877152RUS,2,6100.0,Ford,Focus,2007
E5878M777RUS,1,8500.0,Skoda,Octavia,1983
E33577152RUS,1,1000.0,Ford,Focus,1999
7844C8197RUS,2,34000.0,Ford,Focus,2018
X256HE161RUS,2,800.0,Ford,Focus,2005
C584EY154RUS,1,500.0,Ford,Focus,1987
E28977161RUS,2,1500.0,Ford,Focus,2009
T016OX197RUS,2,3200.0,Toyota,Corolla,1989
H889YK197RUS,2,10600.0,Ford,Focus,1989
7363C8197RUS,2,1600.0,Ford,Focus,1981
T6039O50RUS,2,1500.0,Ford,Focus,2005
7365C8197RUS,1,2300.0,Ford,Focus,2013
Y967O8197RUS,1,4000.0,Ford,Focus,1980
E816HE77RUS,1,3000.0,Ford,Focus,1992
T6329O50RUS,1,500.0,Ford,Focus,1995
X504X8197RUS,1,8594.5864661654,Skoda,Octavia,2007
M581CH197RUS,1,200.0,Ford,Focus,1991
X523OM161RUS,2,800.0,Ford,Focus,2016
C412X938RUS,1,1000.0,Ford,Focus,2016
7831C8197RUS,2,3400.0,Ford,Focus,1990
8164XX154RUS,2,4400.0,Ford,Focus,2015
H004MH197RUS,2,9900.0,Ford,Focus,2011
X015HY197RUS,2,24000.0,Toyota,Corolla,1983
T6419O50RUS,2,9000.0,Ford,Focus,2008
E822TH36RUS,2,12900.0,Ford,Focus,1992
8437XX154RUS,1,8594.5864661654,Ford,Focus,1992
E445TC197RUS,1,3400.0,Ford,Focus,2004
C515X938RUS,1,1900.0,Ford,Focus,2010
7172TT36RUS,2,5700.0,Ford,Focus,1988
8436XX154RUS,1,800.0,Ford,Focus,1982
E79988152RUS,1,500.0,Ford,Focus,2000
8180XX154RUS,1,2800.0,Ford,Focus,2013
84438C154RUS,2,3800.0,Ford,Focus,1994
T6309O50RUS,2,24000.0,Ford,Focus,2003
T6129O50RUS,2,6000.0,Ford,Focus,1996
K339T8197RUS,2,19200.0,Ford,Focus,2016
8685HE154RUS,1,2000.0,Ford,Focus,1999
X782CO96RUS,1,8594.5864661654,Ford,Focus,2007
E591HE77RUS,2,6000.0,Ford,Focus,2013
89587X197RUS,1,4400.0,Toyota,Camry,1991
9499KX178RUS,1,2300.0,Ford,Focus,2017
8818C877RUS,1,5000.0,Volkswagen,Passat,2004
Y357O8197RUS,1,2200.0,Ford,Focus,2018
Y652O8197RUS,1,5800.0,Volkswagen,Touareg,1990
X767HY197RUS,2,18000.0,Ford,Focus,2008
H220X836RUS,1,7000.0,Ford,Focus,2019
H218X836RUS,2,17500.0,Ford,Focus,1995
T913CT197RUS,1,7900.0,Toyota,Camry,1980
T6439O50RUS,2,16500.0,Ford,Focus,2003
7784KT197RUS,2,13200.0,Ford,Focus,2015
X286TC36RUS,2,8594.5864661654,Ford,Focus,1987
O752MX161RUS,1,1300.0,Ford,Focus,1992
Y7449Y50RUS,1,8000.0,Ford,Focus,2016
H115YO163RUS,2,1100.0,Ford,Focus,2007
8818C877RUS,2,10000.0,Volkswagen,Passat,1997
92828M178RUS,1,300.0,Ford,Focus,2009
Y650E8750RUS,1,500.0,Skoda,Octavia,2000
X767HY197RUS,2,36000.0,Ford,Focus,2017
9498KX178RUS,2,800.0,Ford,Focus,2004
83298C154RUS,1,100.0,Ford,Focus,2002
8321XX154RUS,1,100.0,Ford,Focus,1987
8316XX154RUS,1,2200.0,Ford,Focus,1999
T017OX197RUS,2,12700.0,Toyota,Corolla,2012
H977HY161RUS,1,8594.5864661654,Ford,Focus,1982
7788KT197RUS,2,8594.5864661654,Ford,Focus,2007
X522OM161RUS,1,1500.0,Ford,Focus,1981
O085E8197RUS,1,300.0,Volkswagen,Golf,2002
8166XX154RUS,1,600.0,Ford,Focus,1998
705387163RUS,2,700.0,Ford,Focus,1987
O017KO197RUS,1,800.0,Ford,Focus,1988
X4138H125RUS,1,300.0,Ford,Focus,2017
8441XX154RUS,1,500.0,Ford,Focus,2018
M0269X197RUS,2,8594.5864661654,Ford,Focus,2013
7781KT197RUS,1,1200.0,Ford,Focus,1987
T483CT96RUS,1,500.0,Ford,Focus,1994
T940CC96RUS,2,1500.0,Ford,Focus,1993
C58078163RUS,1,100.0,Ford,Focus,1980
O02397197RUS,1,4000.0,Volkswagen,Jetta,1993
T018OX197RUS,2,6800.0,Toyota,Corolla,2019
H963HY161RUS,1,1400.0,Ford,Focus,1989
8611T8154RUS,2,2000.0,Ford,Focus,1996
704787163RUS,2,2800.0,Ford,Focus,1993
E53488152RUS,2,3600.0,Ford,Focus,2001
Y7129Y50RUS,1,16000.0,Ford,Focus,2015
C313MM99RUS,1,7500.0,Toyota,Camry,2010
8611T8154RUS,1,1000.0,Ford,Focus,1991
X763HY197RUS,2,9500.0,Ford,Focus,1997
M386M9197RUS,2,5800.0,Volkswagen,Golf,1980
8605T8154RUS,1,1000.0,Ford,Focus,2014
O22297197RUS,1,8594.5864661654,Ford,Focus,2009
7147OE161RUS,1,500.0,Ford,Focus,1986
O134HE197RUS,2,7600.0,Ford,Focus,2002
7361C8197RUS,1,1600.0,Ford,Focus,1993
Y359EY197RUS,2,3000.0,Skoda,Octavia,1980
T6559O50RUS,1,4000.0,Ford,Focus,1980
E53277152RUS,1,500.0,Ford,Focus,1994
X015HY197RUS,1,8000.0,Toyota,Corolla,2017
9469EX178RUS,2,2100.0,Ford,Focus,2018
Y6839Y50RUS,2,3000.0,Ford,Focus,2002
H237YH197RUS,1,600.0,Ford,Focus,1987
T948OM96RUS,1,2000.0,Ford,Focus,1989
T395KX197RUS,2,15200.0,Ford,Focus,2011
M301CH161RUS,1,8000.0,Ford,Focus,1984
M581CH197RUS,1,100.0,Ford,Focus,2014
E79988152RUS,1,1500.0,Ford,Focus,2010
9496KX178RUS,1,500.0,Ford,Focus,2006
T6319O50RUS,2,8594.5864661654,Ford,Focus,1998
H305T8197RUS,1,28100.0,Ford,Focus,2009
8201XX154RUS,2,2600.0,Ford,Focus,1990
O64297197RUS,1,300.0,Ford,Focus,2000
9523M8178RUS,1,600.0,Skoda,Octavia,1999
Y273O8197RUS,2,52600.0,Ford,Focus,1995
T6229O50RUS,2,2500.0,Ford,Focus,1981
9943KK197RUS,2,19800.0,Ford,Focus,2013
X023HY197RUS,2,10200.0,Volvo,,2003
8226XX154RUS,2,1000.0,Ford,Focus,1994
Y038TO197RUS,1,7600.0,Toyota,Corolla,1992
M0289X197RUS,2,40600.0,Ford,Focus,1998
E811HE77RUS,2,7000.0,Ford,Focus,2001
X795O796RUS,1,2000.0,Ford,Focus,2014
O39997197RUS,1,9000.0,Ford,Focus,1994
97968K152RUS,2,500.0,Ford,Focus,2017
K339T8197RUS,2,8594.5864661654,Ford,Focus,2016
H219X836RUS,1,1600.0,Ford,Focus,1982
T6169O50RUS,1,500.0,Ford,Focus,1992
Y352O8197RUS,2,25900.0,Ford,Focus,2019
94178K154RUS,1,500.0,Ford,Focus,2011
7365C8197RUS,2,6900.0,Ford,Focus,2008
9467EX178RUS,2,3700.0,Ford,Focus,1995
O78097197RUS,2,1400.0,Ford,Focus,1982
X5707X161RUS,2,500.0,Volkswagen,Passat,2013
Y232E877RUS,2,5000.0,Ford,Focus,2004
Y388E877RUS,2,19000.0,Ford,Focus,2014
X255HE161RUS,1,400.0,Ford,Focus,1994
E552MO152RUS,1,8594.5864661654,Ford,Focus,2008
97998K152RUS,2,6300.0,Ford,Focus,2014
Y963O8197RUS,2,21600.0,Ford,Focus,1984
Y778EE197RUS,2,168000.0,Volkswagen,Golf,2014
T654HT96RUS,2,2000.0,Toyota,Corolla,2005
T477KX197RUS,2,94000.0,Ford,Focus,1985
T2639T116RUS,1,3000.0,Ford,Focus,1993
O49797197RUS,2,5300.0,Ford,Focus,1998
O83597197RUS,2,8000.0,Ford,Focus,2010
H387TM197RUS,2,3200.0,Volkswagen,Passat,1995
O68897197RUS,1,8200.0,Ford,Focus,2005
72457Y96RUS,1,900.0,Ford,Focus,1999
7064C8197RUS,1,12800.0,Volkswagen,Passat,1993
E948C8152RUS,2,6000.0,Ford,Focus,1988
C514X938RUS,2,8594.5864661654,Ford,Focus,1993
C589EY154RUS,1,4500.0,Ford,Focus,1987
K899T8197RUS,2,15400.0,Ford,Focus,2018
T6418M116RUS,2,24600.0,Ford,Focus,1997
8607XX154RUS,2,2400.0,Skoda,Octavia,2002
92778M178RUS,2,3000.0,Ford,Focus,1990
T288CT96RUS,1,4500.0,Ford,Focus,1982
9886HX152RUS,2,2900.0,Ford,Focus,1985
C583EY154RUS,1,1000.0,Ford,Focus,1985
7788KT197RUS,1,20000.0,Ford,Focus,1983
T016OX197RUS,2,9600.0,Toyota,Corolla,1988
T6419O50RUS,2,27000.0,Ford,Focus,1996
C592EY154RUS,1,1000.0,Ford,Focus,1981
T6459O50RUS,1,2000.0,Ford,Focus,1983
Y356O8197RUS,2,8594.5864661654,Ford,Focus,2004
X759HY197RUS,2,12500.0,Ford,Focus,1984
705787163RUS,1,100.0,Ford,Focus,1982
Y973O8197RUS,1,69600.0,Ford,Focus,1991
92898M178RUS,1,1600.0,Ford,Focus,1999
9671EC178RUS,1,600.0,Ford,Focus,2018
M302CH161RUS,1,500.0,Ford,Focus,1991
X023HY197RUS,2,6800.0,Volvo,,2017
M578CH197RUS,2,9000.0,Ford,Focus,2002
O77997197RUS,2,5600.0,Ford,Focus,2015
7368C8197RUS,2,8800.0,Ford,Focus,2018
9683EC178RUS,2,6500.0,Ford,Focus,2015
Y207O8161RUS,1,500.0,Ford,Focus,2011
96659X178RUS,1,2700.0,Ford,Focus,1990
T912CT197RUS,2,19800.0,Toyota,Camry,2017
7183TT36RUS,2,16200.0,Ford,Focus,2001
89557X197RUS,2,22400.0,Toyota,Camry,2008
E773EH197RUS,2,8594.5864661654,Ford,Focus,2013
Y359O8197RUS,1,2000.0,Ford,Focus,1994
K2817K154RUS,1,4500.0,Ford,Focus,1997
X758HY197RUS,2,145200.0,Ford,Focus,2012
Y964O8197RUS,1,1000.0,Ford,Focus,1981
H967HY161RUS,2,4500.0,Ford,Focus,1992
E394MO152RUS,2,10500.0,Ford,Focus,2007
O50699163RUS,1,1100.0,Ford,Focus,2005
9463EX178RUS,1,1400.0,Ford,Focus,1997
E53677152RUS,2,5500.0,Ford,Focus,1985
K338T8197RUS,2,17400.0,Ford,Focus,1998
Y4298M777RUS,2,2000.0,Skoda,Octavia,1987
Y687HM197RUS,1,8594.5864661654,BMW,,1996
8311XX154RUS,2,4300.0,Ford,Focus,2013
98037H178RUS,2,2500.0,Ford,Focus,1994
7828C8197RUS,2,6700.0,Ford,Focus,1981
H980HY161RUS,2,1800.0,Ford,Focus,1984
H906YK197RUS,1,12000.0,Ford,Focus,1992
7199MT197RUS,1,9300.0,Volkswagen,Golf,1982
X908XC197RUS,2,46000.0,Volkswagen,Jetta,2013
T171CC96RUS,2,2000.0,Ford,Focus,2001
X4108H125RUS,2,1300.0,Ford,Focus,1981
Y966O8197RUS,2,10400.0,Ford,Focus,1987
K2797K154RUS,2,2400.0,Ford,Focus,2011
7089H8163RUS,2,4400.0,Toyota,Corolla,1984
9883HX152RUS,1,500.0,Ford,Focus,2000
7841C8197RUS,1,12000.0,Ford,Focus,1996
9940KK197RUS,1,8594.5864661654,Ford,Focus,2002
H224X836RUS,2,7000.0,Ford,Focus,1996
H971HY161RUS,2,7400.0,Ford,Focus,2012
M0269X197RUS,2,20600.0,Ford,Focus,1984
E316EH197RUS,1,1300.0,Volkswagen,Touareg,2006
X257HE161RUS,1,5000.0,Ford,Focus,2011
H844YH197RUS,2,3000.0,Ford,Focus,1987
9523M8178RUS,2,300.0,Skoda,Octavia,1997
E33477152RUS,1,500.0,Ford,Focus,2002
Y156E877RUS,2,7500.0,Ford,Focus,1994
E396MO152RUS,2,3000.0,Ford,Focus,1990
E0697X152RUS,2,8594.5864661654,Skoda,Octavia,2005
Y969O8197RUS,1,15600.0,Ford,Focus,2005
9028CO161RUS,1,1500.0,Ford,Focus,1997
7840C8197RUS,2,3500.0,Ford,Focus,2019
T6249O50RUS,2,8500.0,Ford,Focus,2000
E53677152RUS,2,11000.0,Ford,Focus,1983
E42377152RUS,2,3000.0,Ford,Focus,2010
9941KK197RUS,1,800.0,Ford,Focus,1994
E28877161RUS,1,500.0,Ford,Focus,2000
M0299X197RUS,2,19200.0,Ford,Focus,2008
M372CH197RUS,1,21600.0,Ford,Focus,1994
K040CC197RUS,2,3600.0,Ford,Focus,2009
E41577152RUS,2,3000.0,Ford,Focus,1994
9763HY161RUS,1,900.0,Ford,Focus,2005
T535ET96RUS,2,3000.0,Ford,Focus,2010
92918M178RUS,2,7600.0,Ford,Focus,2003
Y655E8750RUS,1,2600.0,Skoda,Octavia,2001
K2797K154RUS,1,8594.5864661654,Ford,Focus,2003
K559KC161RUS,1,200.0,Ford,Focus,2016
7369C8197RUS,2,10100.0,Ford,Focus,1990
8321XX154RUS,1,200.0,Ford,Focus,2017
O134HE197RUS,2,11400.0,Ford,Focus,1987
H961HY161RUS,2,2500.0,Ford,Focus,1990
M2169X197RUS,2,3100.0,Ford,Focus,1994
707987163RUS,1,1100.0,Ford,Focus,1981
8234XX154RUS,1,1300.0,Ford,Focus,2013
X759HY197RUS,1,37500.0,Ford,Focus,2008
O83697197RUS,2,6100.0,Ford,Focus,1993
92918M178RUS,1,1900.0,Ford,Focus,1983
92928M178RUS,1,1200.0,Ford,Focus,2003
E52677152RUS,2,2500.0,Ford,Focus,2019
8451M7154RUS,1,500.0,Ford,Focus,2000
9589EY178RUS,1,8594.5864661654,Ford,Focus,2002
H907YK197RUS,2,7100.0,Ford,Focus,2015
O39897197RUS,2,3800.0,Ford,Focus,2009
M3879X197RUS,2,6300.0,Volkswagen,Touareg,2008
C299K9154RUS,1,500.0,Ford,Focus,1986
M0299X197RUS,1,9600.0,Ford,Focus,1992
8437XX154RUS,2,800.0,Ford,Focus,2012
9468EX178RUS,1,4000.0,Ford,Focus,2013
M375CH197RUS,2,18100.0,Ford,Focus,1986
H982HY161RUS,1,300.0,Ford,Focus,2007
8201XX154RUS,1,7800.0,Ford,Focus,1990
8224XX154RUS,1,2500.0,Ford,Focus,2018
O22397197RUS,1,18500.0,Ford,Focus,1989
Y653E8750RUS,1,500.0,Skoda,Octavia,1994
K558KC161RUS,1,500.0,Ford,Focus,1989
O058M7161RUS,1,1900.0,Ford,Focus,1980
M256OH161RUS,2,1600.0,Ford,Focus,2011
7183TT36RUS,2,5400.0,Ford,Focus,2010
T242H8197RUS,2,8594.5864661654,Skoda,Octavia,2003
K27188138RUS,1,2000.0,Ford,Focus,1983
X782CO96RUS,1,1000.0,Ford,Focus,1995
Y7659C197RUS,1,1500.0,Ford,Focus,1980
X523OM161RUS,1,400.0,Ford,Focus,1996
96629X178RUS,1,7000.0,Ford,Focus,2014
9881HX152RUS,2,10300.0,Ford,Focus,1999
9020YC197RUS,2,72500.0,Skoda,Octavia,1987
T479KX197RUS,2,12000.0,Ford,Focus,1990
M680T9152RUS,2,9000.0,Volkswagen,Jetta,1987
7831C8197RUS,2,6800.0,Ford,Focus,1996
7844C8197RUS,2,17000.0,Ford,Focus,1991
T011MY163RUS,2,4000.0,Ford,Focus,1987
C410X938RUS,1,1100.0,Ford,Focus,1983
X762HY197RUS,1,500.0,Ford,Focus,1983
9470EX178RUS,1,500.0,Ford,Focus,1985
X4128H125RUS,2,8594.5864661654,Ford,Focus,1998
9762HY161RUS,2,2600.0,Ford,Focus,1986
H419XE197RUS,2,6900.0,Toyota,Corolla,2016
98017H178RUS,1,1500.0,Ford,Focus,2006
Y780EE197RUS,2,4600.0,Volkswagen,Golf,1985
M580CH197RUS,2,9500.0,Ford,Focus,2000
